osm_id,historic,tourism,way
5327471601,yes,attraction,POINT (2375727.840467256 5013340.878709205)
8148917180,monument,,POINT (2400307.150638563 5005080.247753638)
7504362426,monument,,POINT (2410478.3791164975 5042847.550995512)
4154122109,monument,,POINT (2385907.2175319158 5045610.675394946)
9825979344,monument,,POINT (2374932.273462403 5016865.251119132)
9653138816,aircraft,attraction,POINT (2374375.932043266 5015123.61264432)
9653178117,aircraft,attraction,POINT (2374364.288024529 5015096.140364005)
7668777840,monument,,POINT (2363058.6137478696 5049354.455192301)
410115784,monument,attraction,POINT (2366418.3806953486 5062284.0488710655)
6901630767,monument,,POINT (2378720.564789691 5053057.173788302)
9689907635,monument,,POINT (2389790.7426835774 5051462.699060821)
2269431831,monument,,POINT (2365130.5922980555 5067614.605892142)
2327281126,monument,,POINT (2365509.3012057343 5066324.500578929)
2330629820,monument,,POINT (2365365.6211389676 5066386.262926645)
8279921462,monument,,POINT (2365410.1266713864 5066385.224651442)
410115785,monument,,POINT (2363020.8653085413 5069752.523078676)
9686944119,monument,,POINT (2376869.0767549193 5088902.688675035)
414714609,monument,,POINT (2414570.873216276 5088063.620469338)
8301080099,monument,,POINT (2423544.214917682 5065042.472312622)
8176930570,monument,,POINT (2410494.175352241 5066710.1360787535)
4907494222,monument,,POINT (2400526.3053200883 5071283.433074404)
4907386415,monument,,POINT (2393657.0021822164 5067642.183065765)
10300604089,,attraction,POINT (2397930.067628011 5065383.578432245)
2598104053,monument,,POINT (2399648.2951003546 5063741.811809938)
3409068903,monument,,POINT (2399213.2028705887 5063519.5656964015)
2189840958,monument,,POINT (2399181.8553019813 5063401.846131962)
2189840728,monument,,POINT (2399155.9067286775 5063380.568092031)
4575841429,monument,,POINT (2399009.6885775207 5063382.747791529)
4575841428,monument,,POINT (2398997.7439961587 5063373.4803651)
4575841430,monument,,POINT (2398997.1540028574 5063389.613106759)
3456913802,monument,,POINT (2398709.304063564 5063130.5879971655)
2189840898,monument,,POINT (2399410.0268622604 5063385.550263031)
4575831104,monument,,POINT (2399295.4234464886 5063443.34956569)
3409074126,monument,,POINT (2399296.035703688 5063543.854153966)
3409068904,monument,,POINT (2399249.849246958 5063549.044003249)
3642663981,monument,,POINT (2399474.0021736193 5063430.656821039)
10224019277,monument,,POINT (2401269.5299003692 5066244.8212079555)
3457966074,monument,,POINT (2399452.216949271 5061748.763673089)
8641682658,monument,,POINT (2452670.13591951 5050047.848075789)
382635381,monument,attraction,POINT (2451572.035934529 5076349.296202723)
382646189,monument,,POINT (2451202.833711364 5076521.161406495)
1911952052,,attraction,POINT (2471258.720902083 5038935.188963163)
4751492691,monument,,POINT (2504764.0842551077 5035713.52096111)
2360747213,monument,,POINT (2504708.5246972525 5033879.637462497)
4078676807,monument,,POINT (2505731.973831708 5032920.048701441)
5055444424,monument,,POINT (2525599.385992565 5041145.904007509)
4551986671,,attraction,POINT (2528784.2588880584 5041285.63273317)
7124138466,monument,,POINT (2529555.380132733 5039311.76121538)
7124138432,monument,,POINT (2529485.0930062463 5039774.006659828)
1790711188,monument,,POINT (2555082.453316705 5070958.204367538)
1916474196,,attraction,POINT (2549162.059782254 5066469.503296277)
9241898533,,attraction,POINT (2526651.566687594 5058428.004599955)
9241880219,,attraction,POINT (2534100.5104140257 5063408.889395927)
9241892458,,attraction,POINT (2536900.963711963 5067876.021084083)
1916491348,,attraction,POINT (2538858.149603243 5066974.330283653)
9241882345,,attraction,POINT (2531816.33465049 5069180.057889129)
5728312945,archaeological_site,attraction,POINT (2532987.527013126 5068927.479533879)
4278022934,monument,,POINT (2533066.18536532 5073999.60116548)
5098505521,monument,,POINT (2524692.421573276 5077605.267174816)
8402601134,monument,,POINT (2521287.75947516 5078923.734663761)
3263474161,,attraction,POINT (2514734.1584131783 5079030.400885097)
3263433907,,attraction,POINT (2511943.38991094 5082636.806179737)
924623193,,attraction,POINT (2501098.4002149794 5106473.090652616)
26863551,,attraction,POINT (2505472.1430082475 5128102.853003712)
444334991,monument,attraction,POINT (2494334.9062531074 5148837.337134538)
7947878810,monument,,POINT (2494979.0342226843 5148354.111518906)
9661483288,monument,,POINT (2494737.9162056264 5148157.707590042)
9661472617,monument,,POINT (2494726.1274715513 5148044.824655865)
3696656682,monument,,POINT (2537576.89566006 5152375.483501502)
3696580046,monument,,POINT (2535061.397994655 5155911.97783716)
3695208788,monument,,POINT (2535222.165603259 5155645.877108731)
3695770497,monument,,POINT (2534927.2246124023 5155794.960871517)
3695208787,monument,,POINT (2535509.837431367 5156016.68947615)
3694922580,monument,,POINT (2540237.8767679823 5157520.612573962)
3694881124,monument,,POINT (2540174.012776114 5157259.558007302)
499973497,,attraction,POINT (2544654.243794275 5116301.204846475)
5747845483,,attraction,POINT (2552904.2648403533 5120882.699266605)
9242047771,,attraction,POINT (2492910.53997256 5188048.557894352)
1879461479,archaeological_site,attraction,POINT (2443809.9170846483 5200514.775711144)
9241947712,,attraction,POINT (2441463.01278805 5207164.919824576)
2024605291,memorial,attraction,POINT (2432334.95925834 5202751.669670014)
1879436069,archaeological_site,attraction,POINT (2427860.060443788 5186578.840513967)
473902990,monument,,POINT (2488079.441051368 5204761.703349228)
9241913498,,attraction,POINT (2489343.18443865 5192326.308385283)
466248926,,attraction,POINT (2488636.1832206724 5166199.706718789)
4064759493,,attraction,POINT (2469414.25712718 5172353.630677418)
9241932424,,attraction,POINT (2469394.264146634 5172525.937519704)
9029306390,,attraction,POINT (2469201.225017649 5172709.975890603)
5055432425,monument,attraction,POINT (2469328.0958413063 5172512.5745918285)
5055444426,monument,,POINT (2469318.2774622184 5172500.081546033)
5055432426,monument,,POINT (2469358.64190958 5172503.231051831)
5055455126,monument,,POINT (2469007.4623119743 5172774.977335875)
5055455125,monument,,POINT (2469175.4545555306 5172794.954795875)
9029328115,,attraction,POINT (2469271.4008246455 5172767.538292415)
5055455123,monument,,POINT (2469267.894260685 5172851.40784495)
9029372362,,attraction,POINT (2469344.61565374 5172872.255362719)
4360784490,,attraction,POINT (2468713.2560297567 5121076.351101886)
4357104593,monument,,POINT (2470190.955478343 5121583.411664839)
6349377665,monument,,POINT (2470177.9533618186 5121584.336574031)
4357166289,monument,,POINT (2470221.334567381 5121575.609611829)
7833095397,monument,,POINT (2442462.294461054 5140698.455638818)
7833094677,monument,,POINT (2442579.168794438 5140732.043222652)
6337100523,monument,,POINT (2444153.549220778 5135394.533394893)
2026930302,monument,,POINT (2424989.4869986 5118245.503690344)
842630157,,attraction,POINT (2455185.3552861875 5176800.982891466)
2373710718,archaeological_site,attraction,POINT (2447499.145197079 5173513.826303203)
9673875424,aircraft,attraction,POINT (2406944.6420688066 5157303.835257504)
9673875426,aircraft,attraction,POINT (2406998.1422160817 5157278.275115377)
9673875425,aircraft,attraction,POINT (2406972.1045871857 5157288.547079903)
9673875423,aircraft,attraction,POINT (2406915.7323970473 5157312.6697689565)
8842731817,,attraction,POINT (2405924.2319564503 5146035.818424373)
8402562316,monument,,POINT (2411746.7756584943 5141049.434527981)
2411429061,,attraction,POINT (2414461.167858099 5135347.713339922)
2026807108,,attraction,POINT (2414123.2909396435 5135386.8246527845)
1831247821,,attraction,POINT (2371573.16329992 5153766.98964225)
5964767388,,attraction,POINT (2371027.664399186 5153686.401246463)
1831180502,monument,attraction,POINT (2371015.3301996063 5153581.475696255)
6959482985,,attraction,POINT (2370893.223850155 5153940.532417964)
6136130988,monument,,POINT (2370290.1505087824 5159263.021134115)
10733732766,locomotive,attraction,POINT (2389123.2932806793 5157693.909195741)
9200216072,monument,,POINT (2386437.020384448 5160771.066366743)
4413612189,,attraction,POINT (2386332.023840732 5160371.774526583)
367853384,monument,,POINT (2385946.1570897955 5160031.842165079)
4386764089,monument,,POINT (2385933.010257933 5159933.751577228)
4183631289,monument,,POINT (2385991.0856362795 5159976.31878426)
8883349545,monument,,POINT (2386787.4430095167 5160392.295176063)
8883349544,monument,,POINT (2386823.5661842786 5160383.038410462)
4266031693,monument,,POINT (2386352.2283283114 5158994.715211212)
4242928035,monument,,POINT (2386590.362983016 5158498.155754787)
4271160712,monument,attraction,POINT (2385771.3520934028 5160031.0483297305)
9026624343,monument,,POINT (2385871.806801895 5160160.159777701)
908273421,monument,artwork,POINT (2385737.8115308266 5160365.8280400615)
4380846206,monument,,POINT (2383447.6467786855 5160219.69841851)
10733732764,locomotive,attraction,POINT (2378129.914703491 5162189.371403699)
367860262,monument,,POINT (2384839.0513580088 5161470.96464246)
4477202789,monument,,POINT (2385394.8361796928 5161231.163216815)
8433354043,monument,,POINT (2385492.4856370166 5160958.952168089)
5812672954,monument,,POINT (2387073.9571149205 5163519.874005586)
4895300521,monument,,POINT (2386342.1427824455 5161706.053193345)
5010846621,,attraction,POINT (2386308.6022198694 5161085.155146338)
4365876494,monument,,POINT (2386412.09595046 5161107.220242216)
8880547039,monument,,POINT (2387640.718038396 5160958.742455331)
1857486060,monument,,POINT (2389114.109422689 5161237.589600636)
470409981,,attraction,POINT (2371125.0355577827 5171334.580993821)
2136716883,monument,,POINT (2417773.6574178385 5181177.68514836)
1995790447,monument,,POINT (2417795.6096214224 5181310.025970234)
1708412126,monument,,POINT (2417864.9171363907 5181301.18417686)
5387110181,,attraction,POINT (2292555.3270737743 5142601.175786641)
5046404750,memorial,attraction,POINT (2286582.201496534 5134973.609314502)
9927105105,monument,,POINT (2324736.9124381323 5142754.152529624)
9927105104,monument,,POINT (2324741.153710732 5142774.3961171545)
9927093810,monument,,POINT (2325203.730722774 5142749.353280675)
4959033521,,attraction,POINT (2313854.129775048 5164448.177542626)
332042618,,attraction,POINT (2325121.755049754 5163008.920097649)
4502463693,,attraction,POINT (2328432.085011372 5149543.796232879)
3039854149,monument,,POINT (2333658.9581181807 5146948.406770173)
6136130985,monument,,POINT (2334164.0814396045 5160596.470555418)
4705276289,,attraction,POINT (2333507.7194579886 5160094.824972604)
8677386085,monument,,POINT (2328637.9258817974 5171077.49633489)
9080920713,monument,,POINT (2340921.452829483 5170572.614507338)
9086030879,monument,,POINT (2340883.871369391 5171001.529926848)
2026119373,monument,,POINT (2327785.997818757 5130310.577782965)
7780203819,,attraction,POINT (2335059.9807015085 5088849.300706633)
7796229746,monument,,POINT (2329055.5854793047 5083932.6628122395)
7796229745,monument,,POINT (2329131.3161288914 5083863.89317203)
2359124380,locomotive,attraction,POINT (2332300.403920591 5088253.727528462)
2026911763,monument,,POINT (2334396.7948351074 5088146.542839558)
4585716598,castle,attraction,POINT (2333962.949383639 5088320.135062975)
6563726510,monument,,POINT (2311331.3072871487 5067769.092484206)
2851570672,monument,,POINT (2346291.27129442 5074227.462554443)
9874642666,,attraction,POINT (2331040.211625065 5043557.8352508135)
26864198,,attraction,POINT (2358102.091156401 5012734.330977626)
1867606193,monument,,POINT (2351022.371917032 4991275.039816421)
287224902,,attraction,POINT (2335754.3582892297 4991047.6626108615)
301812061,,attraction,POINT (2335959.987652623 4983099.047908867)
5297308190,monument,,POINT (2334637.6456853882 4995814.288810838)
2545342051,monument,,POINT (2327912.979961904 5008879.030132044)
2051418481,,attraction,POINT (2315143.8106036843 5011812.31638573)
2051449779,,attraction,POINT (2315257.7015747144 5011500.538593306)
293664138,,attraction,POINT (2312312.6331262877 5000260.45689155)
5599976522,,attraction,POINT (2312810.27577793 5000962.7558534695)
1804963753,,attraction,POINT (2308935.0216644346 4999532.444769725)
9244183971,,attraction,POINT (2315668.5706832837 5019258.294307319)
5720872861,,attraction,POINT (2316929.119201179 5019906.566689283)
3011061690,wayside_shrine,attraction,POINT (2316949.401612402 5021148.38051493)
7733998473,,attraction,POINT (2316299.7299321834 5017195.854320712)
9006404817,,attraction,POINT (2316096.0263959807 5016322.966991242)
412399303,,attraction,POINT (2316605.9698513555 5014973.416055842)
9244223922,,attraction,POINT (2321400.1329655023 5014487.874989302)
2759253188,monument,artwork,POINT (2315444.7405831455 5028882.733579873)
2759245083,monument,artwork,POINT (2315393.9343675477 5028978.181342599)
8951219184,monument,,POINT (2315371.158399731 5028873.011553962)
2759263738,monument,artwork,POINT (2315336.604829789 5028919.361178385)
11004301405,,attraction,POINT (2315480.7969662133 5029469.530554705)
4485692539,,attraction,POINT (2314411.038923588 5029058.086321933)
9161046821,,attraction,POINT (2314981.9298001723 5028911.456461074)
4931101175,,attraction,POINT (2314928.429652897 5028938.140448521)
9042274365,,attraction,POINT (2314755.85104632 5029260.732910914)
7817956982,city_gate,attraction,POINT (2314878.313618142 5029322.007926417)
9259573601,,attraction,POINT (2315007.0768731427 5028910.082370684)
2051112580,,attraction,POINT (2317094.651283989 5027497.059011195)
5405804948,,attraction,POINT (2317982.791577385 5025347.676050368)
2051569337,,attraction,POINT (2315931.073174523 5023243.260503217)
9712177587,,attraction,POINT (2319568.393008397 5037370.529771922)
5359487099,,attraction,POINT (2319578.367234772 5037361.213295815)
495558836,monument,,POINT (2302068.7018889165 5038582.1324940855)
4972835907,monument,,POINT (2301906.164300409 5037989.222988708)
4489443488,monument,,POINT (2285112.0383774745 5089758.140808443)
4489533858,,attraction,POINT (2292626.226457461 5101701.409345433)
